id,season,start,end
43140,Annual,32,31
43140,Early winter,294,31
43140,Late winter,32,105
43140,Summer,167,257
43140,Fall rut,258,293
43140,Spring migration,91,181
43140,Fall migration,244,304
43141,Annual,32,31
43141,Early winter,294,31
43141,Late winter,32,105
43141,Summer,167,257
43141,Fall rut,258,293
43141,Spring migration,91,181
43141,Fall migration,244,304
43142,Annual,32,31
43142,Early winter,294,31
43142,Late winter,32,105
43142,Summer,167,257
43142,Fall rut,258,293
43142,Spring migration,91,181
43142,Fall migration,244,304
43143,Annual,32,31
43143,Early winter,294,31
43143,Late winter,32,105
43143,Summer,167,257
43143,Fall rut,258,293
43143,Spring migration,91,181
43143,Fall migration,244,304
43144,Annual,32,31
43144,Early winter,294,31
43144,Late winter,32,105
43144,Summer,167,257
43144,Fall rut,258,293
43144,Spring migration,91,181
43144,Fall migration,244,304
43145,Annual,32,31
43145,Early winter,294,31
43145,Late winter,32,105
43145,Summer,167,257
43145,Fall rut,258,293
43145,Spring migration,91,181
43145,Fall migration,244,304
43146,Annual,32,31
43146,Early winter,294,31
43146,Late winter,32,105
43146,Summer,167,257
43146,Fall rut,258,293
43146,Spring migration,91,181
43146,Fall migration,244,304
